SITE_ID,VISIT_NO,DATE_COL,LON_DD,LAT_DD,E_I,RT
NLA06608-0129,1,7/21/07,-114.5994561,48.21240982,0.297,12.82
NLA06608-0130,1,8/13/07,-111.0870104,31.40138437,0.15,0.43
NLA06608-0132,1,8/28/07,-109.0936327,36.20871918,0.247,0.84
NLA06608-0134,1,7/24/07,-73.04056323,41.88000298,0.18,2.35
NLA06608-0137,1,9/17/07,-119.3636363,38.14855815,0.011,0.33
NLA06608-0139,1,7/11/07,-85.93794192,41.17205162,0.064,0.22
NLA06608-0140,1,6/20/07,-95.45270584,39.639176,0.305,0.2
NLA06608-0141,1,8/23/07,-75.68870871,39.41622694,0.085,0.05
NLA06608-0142,1,8/13/07,-89.54369029,45.99791162,0.26,2.49
NLA06608-0144,1,8/2/07,-99.39138265,33.39525121,0.286,1.05
NLA06608-0148,1,7/26/07,-86.1080157,39.34860511,0.095,0.23
NLA06608-0149,1,7/18/07,-76.84081042,41.63340269,0.178,1.11
NLA06608-0150,1,8/2/07,-69.2311707,44.84955975,0.04,0.36
NLA06608-0152,1,7/17/07,-97.68636485,34.59440722,0.348,0.98
NLA06608-0153,1,8/30/07,-78.62538711,37.21418362,0.092,0.13
NLA06608-0155,1,7/31/07,-88.12714851,42.37328848,0.139,0.67
NLA06608-0158,1,9/5/07,-91.24994528,45.88100581,0.558,2.73
NLA06608-0161,1,8/15/07,-82.72114525,28.1024337,0.411,0.4
NLA06608-0162,1,8/28/07,-72.10321054,42.73356694,0.193,0.26
NLA06608-0167,1,7/23/07,-94.03191284,44.9419591,0.738,0.5
NLA06608-0168,1,6/13/07,-94.85392322,37.75822313,0.173,0.3
NLA06608-0169,1,7/5/07,-111.5318192,38.51725431,0.091,0.63
NLA06608-0170,1,9/21/07,-86.10688883,43.9911006,0.312,0.68
NLA06608-0173,1,7/11/07,-115.5092281,33.07333126,0.599,1.36
NLA06608-0174,1,7/25/07,-96.0363618,46.25212358,0.551,5.38
NLA06608-0175,1,8/30/07,-84.68705386,39.68102041,0.129,0.33
NLA06608-0176,1,9/7/07,-90.45779851,35.14239477,0.182,0.13
NLA06608-0177,1,8/22/07,-73.05232335,43.89203643,0.013,1.4
NLA06608-0179,1,6/4/07,-101.0545158,44.36456222,0.78,0.66
NLA06608-0180,1,8/29/07,-98.88132868,34.51894059,0.116,0.18
NLA06608-0181,1,9/20/07,-119.0740544,37.78861101,0.534,18.59
NLA06608-0183,1,7/25/07,-92.42496232,45.32624711,0.24,1.08
NLA06608-0184,1,6/15/07,-94.74900513,38.83461964,0.37,0.3
NLA06608-0185,1,8/14/07,-75.45750462,41.11130456,0.218,0.28
NLA06608-0189,1,6/11/07,-80.57939847,40.02942387,0.082,0.18
NLA06608-0190,1,8/14/07,-93.75949137,47.67254307,0.609,2.98
NLA06608-0191,1,7/21/07,-83.66709127,35.16783478,0.139,2.68
NLA06608-0193,1,7/11/07,-121.1758404,48.70438576,0,0
NLA06608-0195,1,6/12/07,-99.08101063,46.89197546,0.362,0.42
NLA06608-0196,1,6/21/07,-88.06164584,38.77692521,0.117,0.28
NLA06608-0198,1,7/24/07,-70.08954132,41.71307603,0.326,1.42
NLA06608-0201,1,9/18/07,-120.4416484,39.11225012,0.03,0.37
NLA06608-0203,1,8/2/07,-87.31609868,34.00633269,0.082,0.98
NLA06608-0204,1,9/12/07,-99.24197456,35.43592446,0.311,0.28
NLA06608-0207,1,7/18/07,-84.81807605,32.60301252,0.607,0.89
NLA06608-0208,1,9/6/07,-90.96329594,35.58384499,0.732,1.28
NLA06608-0209,1,7/19/07,-122.0836788,47.57601003,0.083,1.32
NLA06608-0211,1,8/7/07,-95.76982211,47.46534213,0.718,0.7
NLA06608-0212,1,7/12/07,-86.46847503,39.02766863,0.016,0.08
NLA06608-0215,1,8/22/07,-94.96441345,45.2593824,0.26,1.38
NLA06608-0216,1,7/6/07,-96.52877618,40.3285507,0.589,0.27
NLA06608-0217,1,6/24/07,-79.1460479,36.15288306,0.199,0.27
NLA06608-0219,1,8/1/07,-85.37102925,41.40043649,0.183,1.05
NLA06608-0220,1,8/2/07,-100.5303638,42.50465482,1.09,0.71
NLA06608-0221,1,6/28/07,-76.82122952,37.29913592,0.132,0.1
NLA06608-0222,1,6/27/07,-102.9398075,48.40689317,0.722,1.38
NLA06608-0223,1,6/27/07,-84.20752986,33.58413004,0.141,0.17
NLA06608-0224,1,7/19/07,-90.58984208,37.64783657,0.342,1.18
NLA06608-0225,1,7/11/07,-112.5389845,47.48039976,0.094,4.14
NLA06608-0226,1,7/9/07,-71.24740864,43.19952563,0.111,0.21
NLA06608-0228,1,6/26/07,-103.6093941,38.06219707,0.184,0.59
NLA06608-0229,1,9/13/07,-74.449008,43.95295544,0.058,0.05
NLA06608-0234,1,8/23/07,-85.46799659,43.21855689,0.675,2.68
NLA06608-0235,1,7/16/07,-85.75477789,41.3229061,0.187,3.23
NLA06608-0237,1,6/26/07,-115.1177953,38.38849036,0.403,0.41
NLA06608-0238,1,7/11/07,-94.17531685,46.57881675,0.718,12.59
NLA06608-0239,1,7/24/07,-85.55980719,35.01895093,0.034,0.13
NLA06608-0240,1,7/25/07,-107.5902123,48.47756954,0.096,1.3
NLA06608-0241,1,8/15/07,-111.7292621,42.29154287,0.16,0.3
NLA06608-0242,1,8/2/07,-71.91051169,41.56832304,0.136,0.19
NLA06608-0243,1,7/18/07,-100.7421974,44.73647289,0.105,0.64
NLA06608-0244,1,6/20/07,-99.23199838,33.73938795,0.409,1.33
NLA06608-0245,1,7/24/07,-122.1300516,38.36396781,0.277,1.11
NLA06608-0247,1,7/17/07,-96.96004,43.53474213,0.499,1.32
NLA06608-0253,1,8/8/07,-81.83068716,32.47736836,0.207,0.13
NLA06608-0254,1,6/21/07,-99.09494995,47.96678307,0.456,1.06
NLA06608-0255,1,8/7/07,-85.31930179,35.94835771,0.547,1.13
NLA06608-0257,1,7/18/07,-115.2253416,48.54139505,0.053,1.3
NLA06608-0259,1,6/14/07,-98.99123974,46.37421211,0.334,0.34
NLA06608-0260,1,8/30/07,-106.6907196,36.67343618,0.074,3.83
NLA06608-0268,1,9/10/07,-96.32121976,35.50848975,0.204,0.49
NLA06608-0271,1,6/27/07,-83.87906608,40.47787067,0.142,0.11
NLA06608-0275,1,6/21/07,-99.38087643,46.27199075,0.497,0.81
NLA06608-0276,1,8/7/07,-105.0043919,38.77637097,0.152,2.83
NLA06608-0277,1,7/20/07,-113.4006122,42.6781739,0.102,0.47
NLA06608-0279,1,8/8/07,-93.8978566,44.19244227,0.653,0.52
NLA06608-0280,1,7/25/07,-95.89426355,32.08989492,0.19,0.15
NLA06608-0281,1,6/20/07,-80.57559837,35.49457482,0.093,0.13
NLA06608-0283,1,7/9/07,-87.85257456,32.51233098,0.135,0.39
NLA06608-0284,1,7/30/07,-98.73027981,34.9138437,0.11,0.05
NLA06608-0285,1,7/24/07,-75.56227311,38.55948746,0.032,0.01
NLA06608-0286,1,8/8/07,-88.82970363,46.15225085,0.428,4.37
NLA06608-0290,1,7/11/07,-120.5256858,42.19565154,0.223,0.45
NLA06608-0291,1,7/11/07,-88.99784821,43.81382063,0.241,5.53
NLA06608-0293,1,7/25/07,-73.50316356,41.38426053,0.088,0.3
NLA06608-0294,1,6/26/07,-72.11517323,44.95223074,0.03,0.26
NLA06608-0295,1,6/26/07,-97.63176411,45.18747233,0.553,1.47
NLA06608-0297,1,7/24/07,-81.67207159,33.84097049,0.643,0.63
NLA06608-0299,1,7/30/07,-85.2449775,41.45660059,0.226,2.18
NLA06608-0302,1,6/23/07,-97.02426153,45.91703876,0.427,0.66
NLA06608-0303,1,8/7/07,-82.72837965,41.08805669,0.111,0.19
NLA06608-0306,1,7/16/07,-119.4133477,43.41788272,0.38,0.33
NLA06608-0312,1,7/16/07,-95.54639054,38.81717464,0.059,0.09
NLA06608-0313,1,7/13/07,-79.6893777,34.88602671,0.153,0.12
NLA06608-0318,1,7/20/07,-92.43469487,47.46148555,0.182,0.63
NLA06608-0319,1,7/22/07,-83.11204858,34.72229815,0.024,0.02
NLA06608-0324,1,8/8/07,-82.20271516,36.94420902,0.161,0.4
NLA06608-0325,1,7/17/07,-81.43794893,28.56369452,0.342,0.31
NLA06608-0326,1,8/16/07,-72.04012641,41.35719487,0.175,0.48
NLA06608-0327,1,6/27/07,-91.37124941,31.70973689,0.405,0.15
NLA06608-0328,1,8/25/07,-93.87023429,32.515555,0.213,0.22
NLA06608-0330,1,9/5/07,-83.45698555,45.06291593,0.064,0.12
NLA06608-0332,1,9/4/07,-94.96969524,35.64054377,0.06,0.43
NLA06608-0333,1,7/24/07,-74.85056841,40.62803319,0.152,1.81
NLA06608-0334,1,6/27/07,-100.758717,48.31405586,0.213,0.32
NLA06608-0337,1,7/12/07,-122.6562431,48.39382391,0.563,2.85
NLA06608-0339,1,6/25/07,-99.42452982,46.11443869,0.693,3.16
NLA06608-0340,1,6/21/07,-105.8760128,35.69079767,0.057,0.5
NLA06608-0341,1,9/18/07,-75.93516194,43.20849339,0,0.21
NLA06608-0343,1,8/21/07,-96.63532038,44.87173399,0.803,1.27
NLA06608-0344,1,7/5/07,-96.87657153,40.96440578,0.538,1.46
NLA06608-0345,1,6/21/07,-79.84411222,36.6584792,0.116,0.29
NLA06608-0350,1,8/9/07,-90.6606696,45.7646886,0.254,1.5
NLA06608-0354,1,7/19/07,-71.80704144,42.51316899,0.127,0.18
NLA06608-0356,1,7/16/07,-104.5942811,36.5624187,0.391,0.56
NLA06608-0357,1,7/27/07,-73.13778739,42.31280493,0.149,0.28
NLA06608-0358,1,7/17/07,-71.13479653,44.84025867,0.016,0.03
NLA06608-0359,1,7/10/07,-96.62636247,45.40860134,0.089,0.19
NLA06608-0361,1,7/15/07,-81.04741516,35.02063348,0.113,0.25
NLA06608-0363,1,7/21/07,-85.33088977,41.93460679,0.029,0.17
NLA06608-0366,1,7/31/07,-95.26723865,46.94267011,0.06,0.6
NLA06608-0367,1,8/23/07,-81.22089462,41.36496934,0.086,0.23
NLA06608-0369,1,7/26/07,-72.31186438,44.58635561,0.047,2.31
NLA06608-0372,1,8/3/07,-105.0515471,38.4638561,0.228,1.48
NLA06608-0373,1,7/12/07,-117.1853787,34.25648145,0.432,9.34
NLA06608-0376,1,8/22/07,-96.12859695,36.30884018,0.205,0.75
NLA06608-0377,1,7/12/07,-76.77414252,40.86340465,0.133,0.66
NLA06608-0378,1,6/26/07,-112.4475051,47.55716773,0.096,0.88
NLA06608-0384,1,6/28/07,-103.1433201,48.71606442,0.477,1.39
NLA06608-0385,1,7/6/07,-112.8672712,48.24355,1.103,2.03
NLA06608-0386,1,8/7/07,-78.46066192,40.49157546,0.064,0.51
NLA06608-0388,1,8/16/07,-83.70494798,36.68164988,0.2,1.48
NLA06608-0393,1,7/23/07,-120.5721188,37.89444471,0.033,0.3
NLA06608-0395,1,6/27/07,-86.48006432,33.09780391,0.049,0.22
NLA06608-0399,1,7/16/07,-83.99670111,42.42304224,0.17,0.28
NLA06608-0401,1,8/27/07,-68.23140034,47.17784258,0.008,1.74
NLA06608-0402,1,6/26/07,-124.0780934,42.88974892,0.225,0.29
NLA06608-0403,1,8/6/07,-94.56183848,47.39595432,0.286,5.37
NLA06608-0405,1,8/30/07,-75.87948445,41.97137282,0.098,0.25
NLA06608-0406,1,8/21/07,-121.7044304,45.18038118,0.164,0.26
NLA06608-0407,1,7/23/07,-97.75438416,45.09335555,0.583,1.33
NLA06608-0408,1,6/20/07,-97.28183273,34.36882178,0.111,0.35
NLA06608-0413,1,6/27/07,-77.7454141,36.56057181,0.176,0.19
NLA06608-0414,1,7/31/07,-91.61045649,46.13180055,0.639,0.47
NLA06608-0418,1,7/19/07,-71.9999278,42.76982559,0.223,0.39
NLA06608-0421,1,6/28/07,-73.76674325,43.09504296,0.017,0.05
NLA06608-0425,1,8/1/07,-111.8406157,38.60231182,0.111,0.27
NLA06608-0426,1,9/17/07,-85.07388127,43.8382238,0.384,1.86
NLA06608-0432,1,7/16/07,-90.07170002,34.72092203,0.095,0.18
NLA06608-0433,1,8/9/07,-73.29262702,44.52251138,0,1.22
NLA06608-0435,1,7/23/07,-90.69813817,45.16826567,0.307,1.03
NLA06608-0436,1,9/5/07,-92.9382529,34.45197764,0.057,0.13
NLA06608-0439,1,6/27/07,-99.23111059,45.6434979,0.68,0.38
NLA06608-0440,1,8/8/07,-97.34810228,36.23894258,0.114,0.35
NLA06608-0442,1,8/14/07,-101.9047579,48.28610194,0.979,1.15
NLA06608-0444,1,7/12/07,-89.91161609,34.16578918,0.429,0
NLA06608-0445,1,6/28/07,-81.01548859,40.04075657,0.027,0.09
NLA06608-0447,1,8/25/07,-82.87603537,38.47961378,0.191,0.92
NLA06608-0449,1,7/26/07,-117.6915241,48.13580369,0.089,0.3
NLA06608-0452,1,6/15/07,-105.0360311,39.80684554,0.398,1.31
NLA06608-0453,1,7/31/07,-81.77025392,28.57332363,0.505,0.68
NLA06608-0454,1,7/25/07,-71.19898937,41.97098891,0.137,0.14
NLA06608-0456,1,8/9/07,-96.47583806,33.06325702,0.064,0.21
NLA06608-0458,1,7/25/07,-83.54189637,31.16378198,0.413,0.54
NLA06608-0459,1,7/16/07,-86.84234494,34.2269109,0.207,0.65
NLA06608-0462,1,8/20/07,-89.29397704,46.19906329,0.462,4.11
NLA06608-0463,1,8/19/07,-83.52098213,42.21176414,0.209,0.59
NLA06608-0467,1,7/9/07,-89.36445641,43.54592149,0.095,1.29
NLA06608-0468,1,8/1/07,-106.6003635,39.43240936,0.023,0.37
NLA06608-0469,1,8/29/07,-75.33783928,41.90973411,0.069,0.55
NLA06608-0470,1,7/24/07,-71.2654292,43.62308804,0.108,0.85
NLA06608-0471,1,6/25/07,-97.2623188,45.44015743,0.399,1.64
NLA06608-0472,1,7/16/07,-96.23835676,34.57061143,0.058,0.13
NLA06608-0473,1,6/19/07,-80.20338458,35.51629478,0.059,0.29
NLA06608-0479,1,8/16/07,-83.00425479,39.92061781,0.345,1.03
NLA06608-0480,1,8/24/07,-90.54213897,37.99433764,0.214,1.27
NLA06608-0483,1,7/11/07,-101.1563449,29.49147018,0.224,1.35
NLA06608-0484,1,7/12/07,-88.48981792,36.3106781,0.228,0.13
NLA06608-0488,1,7/19/07,-95.98672528,37.19249014,0.031,0.02
NLA06608-0489,1,7/10/07,-78.00762524,38.49363215,0.179,0.19
NLA06608-0491,1,7/17/07,-85.734175,41.41314405,0.22,0.16
NLA06608-0493,1,7/11/07,-77.64555522,38.77124892,0.054,0.33
NLA06608-0494,1,7/11/07,-94.53354023,46.82219046,0.279,4.15
NLA06608-0495,1,9/5/07,-107.4380582,38.44681794,0.045,1.21
NLA06608-0496,1,6/23/07,-108.0524686,48.75171319,0.643,0.69
NLA06608-0497,1,8/17/07,-111.8159376,42.10765269,0.093,4.42
NLA06608-0498,1,7/31/07,-71.95133091,41.95095517,0.032,0.1
NLA06608-0500,1,9/14/07,-94.21467091,34.21452974,0.074,0.46
NLA06608-0501,1,7/24/07,-122.6247455,37.94635193,0.113,0.63
NLA06608-0502,1,8/18/07,-83.7469401,42.82731383,0.315,1.65
NLA06608-0503,1,8/1/07,-97.0587349,43.57477426,0.655,0.77
NLA06608-0508,1,7/10/07,-90.54209875,33.85862113,0.517,0.12
NLA06608-0509,1,6/20/07,-79.56745425,40.46163354,0.006,0.1
NLA06608-0510,1,6/27/07,-98.8914836,48.24775379,0.489,1.1
NLA06608-0511,1,9/6/07,-107.5377617,38.22555093,0.039,0.47
NLA06608-0512,1,8/13/07,-100.3053493,48.92434782,0.746,1.4
NLA06608-0514,1,7/24/07,-78.11907346,40.35740927,0.023,0.22
NLA06608-0515,1,6/28/07,-98.94484753,46.02793009,0.623,1.25
NLA06608-0523,1,7/16/07,-96.95103624,43.92368969,0.426,1.05
NLA06608-0526,1,7/18/07,-91.39296143,47.94850085,0.215,1.54
NLA06608-0528,1,6/28/07,-99.85563998,40.69518018,0.379,2.71
NLA06608-0529,1,9/4/07,-119.3639845,47.18441442,0.217,0.64
NLA06608-0530,1,8/7/07,-81.41308684,31.05988383,0.416,0.28
NLA06608-0531,1,7/11/07,-99.16791062,46.03407357,0.641,0.58
NLA06608-0533,1,7/18/07,-78.29237084,42.25218027,0.029,0.1
NLA06608-0537,1,6/6/07,-81.05483233,37.69558878,0.08,0.27
NLA06608-0540,1,8/27/07,-99.37115228,35.17104325,0.565,0.41
NLA06608-0541,1,7/12/07,-77.33745683,38.96504347,0.173,0.53
NLA06608-0542,1,8/30/07,-88.36579346,45.78575069,0.829,0.67
NLA06608-0546,1,7/18/07,-71.47978934,42.35496664,0.053,0.05
NLA06608-0547,1,7/31/07,-89.83486415,44.20672826,0.159,0.51
NLA06608-0550,1,8/1/07,-71.96791311,43.9575273,0.024,0.19
NLA06608-0551,1,8/20/07,-94.16801923,45.10823473,0.141,1.05
NLA06608-0555,1,7/23/07,-85.00769013,41.72092858,0.17,0.97
NLA06608-0558,1,8/9/07,-96.21518776,46.76330385,0.736,1.77
NLA06608-0560,1,9/12/07,-101.6607655,35.61858883,0.589,3.01
NLA06608-0561,1,8/9/07,-116.0893222,44.9484358,0.047,1.49
NLA06608-0562,1,7/13/07,-71.61087837,41.68686806,0.072,0.27
NLA06608-0564,1,8/22/07,-105.9168212,35.97472589,0.049,0.5
NLA06608-0565,1,7/19/07,-121.9668773,37.24525923,0.113,0.21
NLA06608-0569,1,8/7/07,-112.4389242,34.60517537,0.458,0.19
NLA06608-0570,1,7/27/07,-109.2242066,45.44213549,0.142,1.86
NLA06608-0579,1,8/19/07,-99.7794296,46.82469712,0.64,0.4
NLA06608-0580,1,8/7/07,-82.39104876,37.17718851,0.087,1
NLA06608-0581,1,7/3/07,-114.3827885,43.25263859,0.12,0.91
NLA06608-0582,1,7/19/07,-72.52468392,41.80079367,0.018,0.04
NLA06608-0583,1,6/26/07,-91.54690118,31.20627441,0.743,0.18
NLA06608-0585,1,6/15/07,-118.7255216,39.48658532,0.114,2
NLA06608-0587,1,7/9/07,-86.59115603,41.2184867,0.26,0.99
NLA06608-0588,1,7/13/07,-97.37482305,39.3320249,0.382,0.46
NLA06608-0590,1,8/7/07,-89.91696268,45.9076374,0.213,0.44
NLA06608-0591,1,8/21/07,-84.64323654,34.13761156,0.093,0.45
NLA06608-0593,1,7/10/07,-122.3277089,48.70867836,0.087,1.37
NLA06608-0594,1,8/9/07,-82.0648507,32.37834158,0.243,0.14
NLA06608-0595,1,6/12/07,-99.76603988,45.81215092,0.59,0.89
NLA06608-0596,1,7/30/07,-106.3650807,39.07986361,0.029,0.94
NLA06608-0597,1,7/9/07,-116.6654946,43.54705816,0.172,3.44
NLA06608-0599,1,7/19/07,-96.59781441,30.29008869,0.062,0.13
NLA06608-0606,1,8/8/07,-90.50816425,45.97262852,0.432,2.04
NLA06608-0608,1,9/18/07,-89.26975098,36.59009304,0.301,0.27
NLA06608-0609,1,7/25/07,-82.27729181,28.06126866,0.405,0.59
NLA06608-0610,1,8/2/07,-71.3703595,42.69132092,0.13,0.35
NLA06608-0611,1,7/2/07,-89.25185174,42.9654707,0.201,1.15
NLA06608-0614,1,6/27/07,-123.2686178,43.37864455,0.078,0.62
NLA06608-0616,1,7/25/07,-98.88888117,36.72480919,0.186,0.23
NLA06608-0617,1,6/19/07,-111.4965509,35.06360996,0.281,0.53
NLA06608-0618,1,7/24/07,-86.43728338,31.44842292,0.139,0.19
NLA06608-0619,1,7/18/07,-85.4673404,42.32382664,0.041,0.22
NLA06608-0622,1,7/24/07,-95.33234259,45.88174092,0.238,1.59
NLA06608-0623,1,6/20/07,-81.31730025,41.06227132,0.053,0.09
NLA06608-0624,1,6/5/07,-89.02743535,39.37683345,0.077,0.35
NLA06608-0625,1,9/19/07,-118.185992,44.9542938,0.086,0.8
NLA06608-0627,1,7/19/07,-88.48011849,44.88675167,0.612,2.19
NLA06608-0628,1,6/25/07,-105.1444706,35.75956138,0.435,1.19
NLA06608-0630,1,7/30/07,-87.77935818,46.30058363,0.515,0.85
NLA06608-0632,1,6/12/07,-94.63514177,38.35723526,0.68,2.25
NLA06608-0634,1,8/22/07,-101.229344,47.92494929,0.726,0.95
NLA06608-0635,1,8/22/07,-105.1268527,40.33649731,0.089,0.7
NLA06608-0637,1,8/6/07,-111.0580729,40.13391202,0.099,1.4
NLA06608-0641,1,7/25/07,-117.6640499,48.41877337,0.043,0.34
NLA06608-0648,1,8/1/07,-99.24832126,42.26770086,0.824,0.67
NLA06608-0649,1,9/19/07,-119.9997761,38.47603543,0.089,0.4
NLA06608-0650,1,7/25/07,-111.3963618,44.64209925,0.142,0.67
NLA06608-0651,1,7/17/07,-86.64445451,33.46835151,0.231,0.68
NLA06608-0654,1,8/14/07,-89.35046545,45.98738228,0.764,0.91
NLA06608-0657,1,9/13/07,-69.00206052,46.16790978,0.173,0.27
NLA06608-0658,1,7/26/07,-124.0796101,44.02383508,0.173,1.99
NLA06608-0659,1,6/26/07,-98.0662251,48.18807378,0.126,0.49
NLA06608-0660,1,7/12/07,-86.21162845,39.71571919,0.211,0.81
NLA06608-0661,1,8/8/07,-75.70704866,41.55549527,0.079,0.17
NLA06608-0662,1,8/7/07,-71.35188791,45.0802966,0.084,0.24
NLA06608-0663,1,8/8/07,-97.43982726,44.92721305,0.589,0.39
NLA06608-0665,1,6/27/07,-79.20867259,35.05246497,0.084,0.08
NLA06608-0671,1,8/16/07,-110.3847622,40.68974933,0.182,0.82
NLA06608-0672,1,7/26/07,-90.09502746,38.70179794,0.286,0.2
NLA06608-0674,1,7/26/07,-72.95778821,42.54198776,0.128,0.2
NLA06608-0677,1,7/17/07,-118.446839,42.77239407,0.602,1.05
NLA06608-0678,1,8/7/07,-121.7804825,43.96358712,0.044,0.09
NLA06608-0679,1,6/27/07,-93.24237251,44.90724118,0.569,1.25
NLA06608-0681,1,6/14/07,-80.61407853,38.82349927,0.104,0.15
NLA06608-0686,1,7/11/07,-95.68760607,45.99294588,0.62,0.39
NLA06608-0687,1,8/14/07,-108.0510627,38.99691941,0.043,0.53
NLA06608-0690,1,7/3/07,-71.5975535,41.98943091,0.049,0.12
NLA06608-0692,1,7/10/07,-99.05552208,40.67141407,0.123,0.26
